Ref,Val,Package,PosX,PosY,Rot,Side
"TP30","TestPoint","TestPoint_D1",122.875000,-77.000000,180.000000,bottom
"TP31","TestPoint","TestPoint_D1",121.375000,-77.000000,180.000000,bottom
"TP32","TestPoint","TestPoint_D1",111.250000,-99.750000,90.000000,bottom
"TP33","TestPoint","TestPoint_D1",109.750000,-99.250000,90.000000,bottom
"TP34","TestPoint","TestPoint_D1",123.500000,-49.500000,-90.000000,bottom
"TP35","TestPoint","TestPoint_D1",122.000000,-49.500000,-90.000000,bottom
"TP36","TestPoint","TestPoint_D1",120.500000,-49.500000,-90.000000,bottom
"TP37","TestPoint","TestPoint_D1",128.000000,-69.000000,90.000000,bottom
"TP38","TestPoint","TestPoint_D1",119.000000,-68.000000,90.000000,bottom
"U2","π141M3x","SOIC-16_3.9x9.9mm_P1.27mm",122.045000,-81.525000,-90.000000,bottom
"U5","SMU02N-05","Converter_DCDC_Murata_CRE1xxxxxxSC_THT",155.632500,-95.512500,0.000000,bottom
